------------------------------「演算結果」------------------------------
          | 経過時間(ミリ秒)| ペナルティ(プライオリティ順)
 1 | time: 33 msec | Optimization: 61 13348 2 12 71 88
 2 | time: 34 msec | Optimization: 61 13220 2 12 71 88
 3 | time: 36 msec | Optimization: 60 13539 2 12 56 88
 4 | time: 37 msec | Optimization: 60 13411 2 12 56 88
 5 | time: 39 msec | Optimization: 60 13293 2 12 67 88
 6 | time: 40 msec | Optimization: 60 13206 2 12 69 88
 7 | time: 44 msec | Optimization: 60 13190 1 13 69 88
 8 | time: 80 msec | Optimization: 60 13186 1 13 59 88
 9 | time: 83 msec | Optimization: 60 13185 1 14 60 88
 10 | time: 86 msec | Optimization: 60 13185 1 13 60 88
 11 | time: 88 msec | Optimization: 60 13185 1 13 59 88
 12 | time: 91 msec | Optimization: 60 13185 1 13 58 88
 13 | time: 93 msec | Optimization: 60 13182 1 13 58 88
 14 | time: 96 msec | Optimization: 60 13181 1 13 58 88
 15 | time: 98 msec | Optimization: 60 13181 1 12 59 88
 16 | time: 101 msec | Optimization: 60 13181 1 12 58 88
 17 | time: 103 msec | Optimization: 60 13165 1 12 58 88
 18 | time: 106 msec | Optimization: 60 13164 1 12 58 88
 19 | time: 109 msec | Optimization: 60 13149 1 12 59 88
 20 | time: 112 msec | Optimization: 60 13149 1 12 58 88
 21 | time: 115 msec | Optimization: 60 13136 1 12 58 88
 22 | time: 118 msec | Optimization: 60 13125 1 12 58 88
 23 | time: 121 msec | Optimization: 60 13117 1 12 58 88
 24 | time: 124 msec | Optimization: 60 13116 1 12 58 88
 25 | time: 126 msec | Optimization: 60 13109 1 12 58 88
 26 | time: 129 msec | Optimization: 60 13104 1 12 58 88
 27 | time: 132 msec | Optimization: 60 13101 1 12 58 88
 28 | time: 135 msec | Optimization: 60 13100 1 12 58 88
 29 | time: 137 msec | Optimization: 60 13095 1 12 58 88
 30 | time: 140 msec | Optimization: 60 13093 1 12 60 88
 31 | time: 141 msec | Optimization: 60 13092 2 12 60 88
 32 | time: 144 msec | Optimization: 60 13092 1 12 60 88
 33 | time: 146 msec | Optimization: 60 13092 1 12 59 88
 34 | time: 147 msec | Optimization: 60 13091 1 12 59 88
 35 | time: 150 msec | Optimization: 60 13091 1 12 58 88
 36 | time: 154 msec | Optimization: 60 12976 1 12 58 88
 37 | time: 157 msec | Optimization: 60 12868 1 12 58 88
 38 | time: 160 msec | Optimization: 60 12867 1 12 59 88
 39 | time: 163 msec | Optimization: 60 12867 1 12 58 88
 40 | time: 166 msec | Optimization: 60 12764 1 12 58 88
 41 | time: 202 msec | Optimization: 60 12761 1 12 60 88
 42 | time: 204 msec | Optimization: 60 12761 1 12 59 88
 43 | time: 205 msec | Optimization: 60 12758 1 12 63 88
 44 | time: 209 msec | Optimization: 60 12758 1 12 62 88
 45 | time: 211 msec | Optimization: 60 12757 1 12 62 88
 46 | time: 214 msec | Optimization: 60 12757 1 12 59 88
 47 | time: 217 msec | Optimization: 60 12757 1 12 58 88
 48 | time: 220 msec | Optimization: 60 12756 1 12 59 88
 49 | time: 222 msec | Optimization: 60 12756 1 12 58 88
 50 | time: 226 msec | Optimization: 60 12733 1 12 59 88
 51 | time: 230 msec | Optimization: 60 12733 1 12 58 88
 52 | time: 234 msec | Optimization: 60 12713 1 12 59 88
 53 | time: 238 msec | Optimization: 60 12712 1 12 59 88
 54 | time: 241 msec | Optimization: 60 12695 1 13 59 88
 55 | time: 245 msec | Optimization: 60 12694 1 13 59 88
 56 | time: 247 msec | Optimization: 60 12694 1 12 59 88
 57 | time: 250 msec | Optimization: 60 12677 1 12 59 88
 58 | time: 254 msec | Optimization: 60 12662 1 12 60 88
 59 | time: 258 msec | Optimization: 60 12662 1 12 59 88
 60 | time: 261 msec | Optimization: 60 12649 1 12 60 88
 61 | time: 265 msec | Optimization: 60 12639 1 13 64 88
 62 | time: 269 msec | Optimization: 60 12639 1 12 64 88
 63 | time: 271 msec | Optimization: 60 12639 1 12 61 88
 64 | time: 273 msec | Optimization: 60 12638 1 12 61 88
 65 | time: 276 msec | Optimization: 60 12638 1 12 60 88
 66 | time: 279 msec | Optimization: 60 12638 1 12 59 88
 67 | time: 282 msec | Optimization: 60 12630 2 12 59 88
 68 | time: 286 msec | Optimization: 60 12629 2 12 60 88
 69 | time: 290 msec | Optimization: 60 12629 2 12 59 88
 70 | time: 293 msec | Optimization: 60 12629 1 13 60 88
 71 | time: 296 msec | Optimization: 60 12629 1 12 60 88
 72 | time: 299 msec | Optimization: 60 12629 1 12 59 88
 73 | time: 302 msec | Optimization: 60 12626 1 14 61 88
 74 | time: 306 msec | Optimization: 60 12621 1 14 61 88
 75 | time: 310 msec | Optimization: 60 12618 1 14 62 88
 76 | time: 314 msec | Optimization: 60 12617 1 14 66 88
 77 | time: 316 msec | Optimization: 60 12617 1 14 65 88
 78 | time: 317 msec | Optimization: 60 12617 1 14 63 88
 79 | time: 319 msec | Optimization: 60 12617 1 14 62 88
 80 | time: 356 msec | Optimization: 60 12538 1 14 67 87
